date,series,value,unit,source,status,entente_cinc,alliance_cinc
1900-01-01,capratio_alliance_entente,0.5591,ratio,cow_nmc,ok,0.36148,0.20209
1900-01-01,bloc_parity,0.5591,ratio(0-1),cow_nmc,ok,0.36148,0.20209
1900-01-01,milex_germany_uk,0.3318,ratio,cow_nmc,ok,0.36148,0.20209
1901-01-01,capratio_alliance_entente,0.5541,ratio,cow_nmc,ok,0.35688,0.19774
1901-01-01,bloc_parity,0.5541,ratio(0-1),cow_nmc,ok,0.35688,0.19774
1901-01-01,milex_germany_uk,0.3594,ratio,cow_nmc,ok,0.35688,0.19774
1902-01-01,capratio_alliance_entente,0.5871,ratio,cow_nmc,ok,0.34296,0.20134
1902-01-01,bloc_parity,0.5871,ratio(0-1),cow_nmc,ok,0.34296,0.20134
1902-01-01,milex_germany_uk,0.4578,ratio,cow_nmc,ok,0.34296,0.20134
1903-01-01,capratio_alliance_entente,0.6255,ratio,cow_nmc,ok,0.32849,0.20547
1903-01-01,bloc_parity,0.6255,ratio(0-1),cow_nmc,ok,0.32849,0.20547
1903-01-01,milex_germany_uk,0.6365,ratio,cow_nmc,ok,0.32849,0.20547
1904-01-01,capratio_alliance_entente,0.6406,ratio,cow_nmc,ok,0.31832,0.20391
1904-01-01,bloc_parity,0.6406,ratio(0-1),cow_nmc,ok,0.31832,0.20391
1904-01-01,milex_germany_uk,0.7104,ratio,cow_nmc,ok,0.31832,0.20391
1905-01-01,capratio_alliance_entente,0.5389,ratio,cow_nmc,ok,0.34616,0.18655
1905-01-01,bloc_parity,0.5389,ratio(0-1),cow_nmc,ok,0.34616,0.18655
1905-01-01,milex_germany_uk,0.8303,ratio,cow_nmc,ok,0.34616,0.18655
1906-01-01,capratio_alliance_entente,0.6335,ratio,cow_nmc,ok,0.31714,0.20090
1906-01-01,bloc_parity,0.6335,ratio(0-1),cow_nmc,ok,0.31714,0.20090
1906-01-01,milex_germany_uk,0.9039,ratio,cow_nmc,ok,0.31714,0.20090
1907-01-01,capratio_alliance_entente,0.6603,ratio,cow_nmc,ok,0.31170,0.20582
1907-01-01,bloc_parity,0.6603,ratio(0-1),cow_nmc,ok,0.31170,0.20582
1907-01-01,milex_germany_uk,0.9767,ratio,cow_nmc,ok,0.31170,0.20582
1908-01-01,capratio_alliance_entente,0.7066,ratio,cow_nmc,ok,0.31452,0.22225
1908-01-01,bloc_parity,0.7066,ratio(0-1),cow_nmc,ok,0.31452,0.22225
1908-01-01,milex_germany_uk,1.1181,ratio,cow_nmc,ok,0.31452,0.22225
1909-01-01,capratio_alliance_entente,0.6842,ratio,cow_nmc,ok,0.30616,0.20947
1909-01-01,bloc_parity,0.6842,ratio(0-1),cow_nmc,ok,0.30616,0.20947
1909-01-01,milex_germany_uk,1.0360,ratio,cow_nmc,ok,0.30616,0.20947
1910-01-01,capratio_alliance_entente,0.6879,ratio,cow_nmc,ok,0.30518,0.20993
1910-01-01,bloc_parity,0.6879,ratio(0-1),cow_nmc,ok,0.30518,0.20993
1910-01-01,milex_germany_uk,0.9837,ratio,cow_nmc,ok,0.30518,0.20993
1911-01-01,capratio_alliance_entente,0.6852,ratio,cow_nmc,ok,0.30986,0.21230
1911-01-01,bloc_parity,0.6852,ratio(0-1),cow_nmc,ok,0.30986,0.21230
1911-01-01,milex_germany_uk,0.9440,ratio,cow_nmc,ok,0.30986,0.21230
1912-01-01,capratio_alliance_entente,0.7036,ratio,cow_nmc,ok,0.31302,0.22024
1912-01-01,bloc_parity,0.7036,ratio(0-1),cow_nmc,ok,0.31302,0.22024
1912-01-01,milex_germany_uk,0.9407,ratio,cow_nmc,ok,0.31302,0.22024
1913-01-01,capratio_alliance_entente,0.7461,ratio,cow_nmc,ok,0.29693,0.22155
1913-01-01,bloc_parity,0.7461,ratio(0-1),cow_nmc,ok,0.29693,0.22155
1913-01-01,milex_germany_uk,1.3054,ratio,cow_nmc,ok,0.29693,0.22155
1914-01-01,capratio_alliance_entente,0.7794,ratio,cow_nmc,ok,0.32346,0.25211
1914-01-01,bloc_parity,0.7794,ratio(0-1),cow_nmc,ok,0.32346,0.25211
1914-01-01,milex_germany_uk,1.0632,ratio,cow_nmc,ok,0.32346,0.25211
